url,title,price,category,specs
https://hoanghamobile.com/dien-thoai-di-dong/dien-thoai-di-dong-xor-x2-ebony-bundle-chinh-hang,Điện thoại XOR TITANIUM X2 EBONY BUNDLE,"196,000,000 ₫",,"{'Hệ điều hành': 'Hệ điều hành XOR được xây dựng riêng biệt', 'Vi xử lý': 'Không có', 'Độ phân giải': '240 x 320', 'Dung lượng pin sản phẩm': '1300mAh'}"
https://hoanghamobile.com/dien-thoai/infinix-hot-40i-8gb-256gb-chinh-hang,Điện thoại Infinix HOT 40i (8+8GB/256GB) ,"2,990,000 ₫",,"{'Mạng di động': '2G, 3G, 4G', 'Độ phân giải camera': 'Camera chính 50MP f/1.6', 'Bộ nhớ trong': '256GB', 'Công nghệ màn hình': 'IPS LCD', 'Kích thước màn hình': '6.56""'}"
https://hoanghamobile.com/dien-thoai/dien-thoai-di-dong-xphone-hera-v9,Hera V9 - Chính hãng,"360,000 ₫",,"{'Bộ nhớ trong': '16MB', 'Mạng di động': '2G, 4G', 'Độ phân giải': '128 x 160', 'Dung lượng pin sản phẩm': '1000mAh'}"
https://hoanghamobile.com/dien-thoai-di-dong/xiaomi-12s-ultra,Điện thoại Xiaomi 12S Ultra ,Giá: Liên hệ,,"{'Độ phân giải camera': 'Camera góc rộng: 50.3 MP, f/1.9, PDAF, OIS', 'Số khe SIM': '2 SIM (Nano-SIM)', 'Mạng di động': 'Hỗ trợ 5G', 'Công nghệ màn hình': 'AMOLED', 'Kích thước màn hình': '6.73""'}"
https://hoanghamobile.com/dien-thoai-di-dong/nubia-red-magic-8-pro,Điện thoại Nubia Red Magic 8 Pro ,Giá: Liên hệ,,"{'Độ phân giải camera': 'Camera góc rộng: 50MP, f/1.8, 1/1.57 inch, 1.0µm, PDAF', 'Số khe SIM': '2 SIM (Nano-SIM)', 'Bộ nhớ trong': '128GB', 'Công nghệ màn hình': 'AMOLED', 'Kích thước màn hình': '6.8""'}"
https://hoanghamobile.com/dien-thoai-di-dong/oppo-reno10-pro-plus-chinh-hang,OPPO Reno10 Pro Plus - Chính hãng,Giá: Liên hệ,,"{'Độ phân giải camera': 'Chính 50 MP & Phụ 64 MP, 8 MP', 'Bộ nhớ trong': '256GB', 'Số khe SIM': '2 Nano SIM', 'Công nghệ màn hình': 'AMOLED', 'Kích thước màn hình': '6.7""'}"
https://hoanghamobile.com/dien-thoai-di-dong/dien-thoai-di-dong-masstel-izi-12,Điện thoại di động Masstel izi 12 4G - Chính hãng,"450,000 ₫",,"{'Bộ nhớ trong': '128MB', 'Số khe SIM': '2 nano SIM', 'Công nghệ màn hình': 'QQVGA', 'Kích thước màn hình': '1.77""'}"
https://hoanghamobile.com/dien-thoai-di-dong/oppo-reno10-pro-chinh-hang,OPPO Reno10 Pro - Chính hãng,Giá: Liên hệ,,"{'Độ phân giải camera': 'Camera góc rộng: 50 MP, f/1.8, OIS', 'Số khe SIM': '2 SIM (Nano-SIM)', 'Mạng di động': 'Hỗ trợ 5G', 'Công nghệ màn hình': 'AMOLED', 'Kích thước màn hình': '6.7""'}"
https://hoanghamobile.com/dien-thoai-di-dong/dien-thoai-di-dong-masstel-fami-12,Điện thoại di động Masstel Fami 12 4G - Chính hãng,"650,000 ₫",,"{'Độ phân giải camera': '0.08MP', 'Số khe SIM': '2 nano SIM', 'Công nghệ màn hình': 'QQVGA', 'Kích thước màn hình': '1.77""'}"
https://hoanghamobile.com/dien-thoai-di-dong/nothing-phone-2,Điện thoại Nothing Phone 2,Giá: Liên hệ,,"{'Bộ nhớ trong': '128GB', 'Hệ điều hành': 'Android 13', 'Số khe SIM': '2 nano-SIM', 'Công nghệ màn hình': 'OLED', 'Kích thước màn hình': '6.55""'}"
https://hoanghamobile.com/dien-thoai-di-dong/dien-thoai-izi-15-chinh-hang,Điện thoại di động Masstel Izi 15 - chính hãng,"450,000 ₫",,"{'Bộ nhớ trong': '128MB', 'Số khe SIM': '2 nano SIM', 'Công nghệ màn hình': 'QQVGA', 'Kích thước màn hình': '1.77""'}"
https://hoanghamobile.com/dien-thoai/dien-thoai-di-dong-masstel-fami-12s-4g-chinh-hang,Điện thoại di động Masstel Fami 12S 4G - Chính hãng,"650,000 ₫",,"{'Bộ nhớ trong': '256MB', 'Công nghệ màn hình': 'QQVGA', 'Kích thước màn hình': '1.77""'}"
https://hoanghamobile.com/dien-thoai-di-dong/dien-thoai-di-dong-masste-fami-60-4g-chinh-hang,Điện thoại di động Masstel Fami 60 4G - Chính hãng,"740,000 ₫",,"{'Độ phân giải camera': 'Không có', 'Bộ nhớ trong': '24MB', 'Số khe SIM': '2 Nano SIM', 'Công nghệ màn hình': 'TFT LCD', 'Kích thước màn hình': '2.0""'}"
https://hoanghamobile.com/dien-thoai-di-dong/dien-thoai-izi-30-chinh-hang,Điện thoại di động Masstel Izi 30 - chính hãng,"600,000 ₫",,"{'Bộ nhớ trong': '128MB', 'Số khe SIM': '2 nano SIM', 'Công nghệ màn hình': 'QVGA', 'Kích thước màn hình': '2.4""'}"
https://hoanghamobile.com/dien-thoai-di-dong/dien-thoai-di-dong-izi-10-4g-chinh-hang,Điện thoại di động Izi 10 4G - Chính hãng,"500,000 ₫",,"{'Độ phân giải camera': 'Không có', 'Bộ nhớ trong': '128MB', 'Số khe SIM': '2 Nano SIM', 'Công nghệ màn hình': 'TFT LCD', 'Kích thước màn hình': '1.77""'}"
https://hoanghamobile.com/dien-thoai/dien-thoai-nubia-v60-design-6-10gb-256gb,Điện thoại Nubia V60 Design (6+10GB/256GB) - Chính hãng,"2,890,000 ₫",,"{'Hệ điều hành': 'MyOS 13', 'Số khe SIM': '2 SIM (Nano-SIM)', 'Vi xử lý': 'Octa-Core 1.6GHz', 'Độ phân giải': '720 x 1612', 'Dung lượng pin sản phẩm': '5000mAh'}"
https://hoanghamobile.com/dien-thoai/dien-thoai-di-dong-masstel-izi-t2-4g-chinh-hang,Điện thoại di động Masstel izi T2 4G - Chính hãng,"500,000 ₫",,"{'Mạng di động': 'GSM: 900/1800MHz', 'Bộ nhớ trong': '128MB', 'Công nghệ màn hình': 'QVGA', 'Kích thước màn hình': '2.4""'}"
https://hoanghamobile.com/dien-thoai-di-dong/nubia-neo-8gb-256gb-chinh-hang,Điện thoại Nubia Neo 8GB/256GB ,"4,290,000 ₫",,"{'Độ phân giải camera': '50 MP (góc rộng)', 'Bộ nhớ trong': '256GB', 'Vi xử lý': 'Unisoc T820', 'Độ phân giải': '2408 x 1080', 'Dung lượng pin sản phẩm': '4500mAh'}"
https://hoanghamobile.com/dien-thoai-di-dong/nubia-redmagic-7-pusar-16gb-256gb-chinh-hang,Điện thoại NUBIA REDMAGIC 7 PUSAR 16GB 256GB ,"18,990,000 ₫",,"{'Bộ nhớ trong': '256GB', 'Số khe SIM': '2 SIM (Nano-SIM)', 'Mạng di động': '5G', 'Công nghệ màn hình': 'AMOLED', 'Kích thước màn hình': '6.8""'}"
https://hoanghamobile.com/dien-thoai/dien-thoai-di-dong-mobell-f309-4g-chinh-hang,Điện Thoại Di Động Mobell F309 4G - Chính hãng,"650,000 ₫",,"{'Bộ nhớ trong': '128MB', 'Công nghệ màn hình': 'Đang cập nhật', 'Kích thước màn hình': '2.31""'}"
https://hoanghamobile.com/dien-thoai/dien-thoai-di-dong-mobell-rock-4-4g-chinh-hang,Điện Thoại Di Động Mobell ROCK 4 4G - Chính hãng,"670,000 ₫",,"{'Bộ nhớ trong': '128MB', 'Công nghệ màn hình': 'Đang cập nhật', 'Kích thước màn hình': '2.4""'}"
https://hoanghamobile.com/dien-thoai/dien-thoai-di-dong-mobell-m539-4g-chinh-hang,Điện Thoại Di Động Mobell M539 4G - Chính hãng,"640,000 ₫",,"{'Bộ nhớ trong': '128MB', 'Công nghệ màn hình': 'Đang cập nhật', 'Kích thước màn hình': '2.8""'}"
